Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42844155,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",3,4.47,Pottermore Publishing,Kindle Edition,333,2015,1997,,2024/11/04,to-read,to-read (#1),to-read,,,,0,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",4,3.93,Scribner,Paperback,180,1925,1925,,2024/11/04,to-read,to-read (#2),to-read,,,,0,0
930871,Die Verwandlung,Franz Kafka,"Kafka, Franz",Vladimir Nabokov,"=""3596258758""","=""9783596258758""",3,3.88,Fischer Taschenbuch Verlag,Paperback,109,1986,1915,,2024/11/04,complicated,complicated (#1),read,,,,1,0
