Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22837999,"Die Auftragsmörderin (Die Krosann-Saga - Lehrjahre, #1)",Sam Feuerbach,"Feuerbach, Sam",,"=""1499355130""","=""9781499355130""",0,4.19,CreateSpace Independent Publishing Platform,Paperback,388,2014,2014,,2018/07/27,to-read,to-read (#43),to-read,,,,0,0
359375,"Night Watch (Watch, #1)",Sergei Lukyanenko,"Lukyanenko, Sergei",Andrew Bromfield,"=""1401359795""","=""9781401359799""",0,3.97,Miramax Books / Hyperion,Paperback,455,2006,1998,,2018/07/26,to-read,to-read (#42),to-read,,,,0,0
3115486,"Die Magie des Herrschers (Ulldart - Die Dunkle Zeit, #5)",Markus Heitz,"Heitz, Markus",,"=""3492285325""","=""9783492285322""",3,4.09,Piper Taschenbuch,Paperback,544,2007,2003,,2018/07/13,,,read,,,,1,0
3950967,"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,"Rowling, J.K.",Hermione Granger,"=""0747599874""","=""9780747599876""",5,4.04,Bloomsbury,Hardcover,105,2008,2008,2008/01/01,2018/07/09,,,read,,,,1,0
41899,Fantastic Beasts and Where to Find Them,Newt Scamander,"Scamander, Newt",J.K. Rowling,"=""0439321603""","=""9780439321600""",4,3.95,"Obscurous Books, Arthur A. Levine Books",Hardcover,128,2001,2001,2016/01/01,2018/07/09,,,read,,,,1,0
111450,Quidditch Through the Ages,Kennilworthy Whisp,"Whisp, Kennilworthy",J.K. Rowling,"=""0439321611""","=""9780439321617""",4,3.80,Scholastic,Hardcover,105,2001,2001,2016/01/01,2018/07/09,,,read,,,,1,0
28247,"Voice of the Gods (Age of the Five, #3)",Trudi Canavan,"Canavan, Trudi",,"=""0060815922""","=""9780060815929""",4,4.11,HarperCollins Publishers Inc.,Mass Market Paperback,574,2007,2007,2007/01/01,2018/07/09,,,read,,,,1,0
28246,"Last of the Wilds (Age of the Five, #2)",Trudi Canavan,"Canavan, Trudi",,"=""0060815914""","=""9780060815912""",4,4.06,"Harper Voyager, HarperCollins Publishers Inc.",Mass Market Paperback,576,2006,2006,2007/01/01,2018/07/09,,,read,,,,1,0
28248,"Priestess of the White (Age of the Five, #1)",Trudi Canavan,"Canavan, Trudi",,"=""0060815701""","=""9780060815707""",4,3.88,HarperCollins Publishers Inc.,Mass Market Paperback,598,2005,2005,2007/01/01,2018/07/09,,,read,,,,1,0
28249,"The Magicians' Guild (Black Magician Trilogy, #1)",Trudi Canavan,"Canavan, Trudi",,"=""1841493139""","=""9781841493138""",4,3.95,Orbit,Paperback,467,2004,2001,2004/01/01,2018/07/09,,,read,,,,1,0
28250,"The Novice (Black Magician Trilogy, #2)",Trudi Canavan,"Canavan, Trudi",,"=""1841493147""","=""9781841493145""",4,4.08,Orbit,Paperback,577,2004,2002,2004/01/01,2018/07/09,,,read,,,,1,0
28251,"The High Lord (Black Magician Trilogy, #3)",Trudi Canavan,"Canavan, Trudi",,"=""1841493155""","=""9781841493152""",4,4.14,Orbit,Paperback,644,2004,2002,2004/01/01,2018/07/09,,,read,,,,1,0
902715,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077883""","=""9780575077881""",2,4.35,Gollancz,Trade Paperback,441,2007,2007,2008/01/01,2018/07/09,,,read,,,,1,0
944076,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077905""","=""9780575077904""",2,4.35,Gollancz,Kindle Edition,536,2008,2008,2008/01/01,2018/07/09,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",2,4.21,Gollancz,Paperback,515,2007,2006,2008/01/01,2018/07/09,,,read,,,,1,0
1937397,"A Shadow on the Glass (The View from the Mirror, #1)",Ian  Irvine,"Irvine, Ian",,"=""0140271961""","=""9780140271966""",0,3.77,Penguin Books Australia,Paperback,586,1998,1998,,2018/07/09,,,read,,,,2,0
1629945,"The Tower on the Rift (The View from the Mirror, #2)",Ian  Irvine,"Irvine, Ian",,"=""0140276807""","=""9780140276800""",0,3.94,Penguin Group,Paperback,664,1998,1998,2003/01/01,2018/07/09,,,read,,,,1,0
618938,"The Way Between the Worlds (The View from the Mirror, #4)",Ian  Irvine,"Irvine, Ian",,"=""0446609870""","=""9780446609876""",0,4.03,Aspect,Paperback,736,2002,1999,2003/01/01,2018/07/09,,,read,,,,1,0
1937398,"Dark is the Moon (The View from the Mirror, #3)",Ian  Irvine,"Irvine, Ian",,"=""0140276815""","=""9780140276817""",0,3.99,Penguin Books Australia Ltd,Paperback,674,1999,1999,2003/01/01,2018/07/09,,,read,,,,1,0
263081,"Chimaera (The Well of Echoes, #4)",Ian  Irvine,"Irvine, Ian",,"=""1841493252""","=""9781841493251""",3,4.08,Orbit,Paperback,835,2005,2004,2005/01/01,2018/07/09,,,read,,,,1,0
263082,"Geomancer (The Well of Echoes, #1)",Ian  Irvine,"Irvine, Ian",,"=""1841491373""","=""9781841491370""",3,3.87,"Orbit, London",Paperback,621,2001,2001,2003/01/01,2018/07/09,,,read,,,,1,0
263059,"Alchymist (The Well of Echoes, #3)",Ian  Irvine,"Irvine, Ian",,"=""1841491810""","=""9781841491813""",3,4.07,Orbit,Paperback,720,2004,2003,2003/01/01,2018/07/09,,,read,,,,1,0
263083,"Tetrarch (The Well of Echoes, #2)",Ian  Irvine,"Irvine, Ian",,"=""1841491993""","=""9781841491998""",3,4.03,Orbit,Paperback,692,2004,2002,2003/01/01,2018/07/09,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2007/01/01,2018/07/09,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Unknown Binding,652,2006,2005,2005/01/01,2018/07/09,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,912,2004,2003,2003/01/01,2018/07/09,,,read,,,,1,0
662855,"Harry Potter und der Feuerkelch (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Klaus Fritz,"=""""","=""""",5,4.57,Carlsen,Hardcover,767,2000,2000,,2018/07/09,,,read,,,,2,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,2000/01/01,2018/07/09,,,read,,,,1,0
142293,"Harry Potter und der Stein der Weisen (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Klaus Fritz,"=""""","=""""",5,4.47,Carlsen Verlag,Hardcover,335,1998,1997,,2018/07/09,,,read,,,,2,0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.34,Bantam,Kindle Edition,1125,2011,2011,2011/01/01,2018/07/08,,,read,,,,1,0
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",5,4.17,Bantam Books,Mass Market Paperback,1060,2011,2005,2005/01/01,2018/07/08,,,read,,,,1,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.55,Bantam,Mass Market Paperback,1177,2003,2000,2004/01/01,2018/07/08,,,read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",5,4.42,Bantam,Paperback,1009,2002,1998,2004/01/01,2018/07/08,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,2004/01/01,2018/07/08,,,read,,,,1,0
